epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0562,1.28488,3.27354,1.80445,0.00367,0.86667,0.07931,0.02657,2.00826,3.36424,3.19364,0.00010002,0.00010002,0.00010002
2,26.1239,0.85064,2.6525,1.385,0.00319,1,0.47731,0.35587,0.58126,2.64408,1.20344,0.000214565,0.000214565,0.000214565
3,36.5144,0.63603,1.78042,1.18356,0.45138,0.8,0.57786,0.42565,0.77623,2.3219,1.3923,0.000326799,0.000326799,0.000326799
4,48.0812,0.63183,1.387,1.15803,0.65782,0.40896,0.62467,0.48189,0.79812,2.05092,1.41133,0.000436722,0.000436722,0.000436722
5,62.501,0.61837,1.26215,1.14275,0.68038,0.53128,0.63638,0.53011,0.68812,1.55497,1.38628,0.000544336,0.000544336,0.000544336
6,75.2892,0.60483,1.12064,1.12451,0.5433,0.51797,0.47802,0.36657,0.8871,2.0126,1.57847,0.000649638,0.000649638,0.000649638
7,87.2454,0.60166,1.02635,1.11825,0.64338,0.65556,0.62398,0.47532,0.77842,1.69639,1.62554,0.00075263,0.00075263,0.00075263
8,101.462,0.58816,0.96919,1.11074,0.68895,0.63565,0.63229,0.48305,0.85816,1.23961,1.82119,0.000853312,0.000853312,0.000853312
9,115.258,0.59093,0.91028,1.10583,0.54177,0.64073,0.59134,0.43913,0.90856,1.66708,1.77867,0.000951684,0.000951684,0.000951684
10,126.991,0.60209,0.90166,1.10895,0.39645,0.50208,0.35778,0.22095,0.97569,1.99572,1.80806,0.00104774,0.00104774,0.00104774
11,139.364,0.5984,0.86117,1.11294,0.47054,0.6839,0.52724,0.30372,1.12658,2.20485,1.92495,0.00114149,0.00114149,0.00114149
12,151.301,0.58596,0.80112,1.0972,0.51027,0.60162,0.62359,0.42845,1.15311,1.83278,2.04931,0.00123293,0.00123293,0.00123293
13,163.758,0.62631,0.79732,1.11876,0.50196,0.62911,0.4642,0.33488,0.95211,1.89987,1.7834,0.00132206,0.00132206,0.00132206
14,176.107,0.60551,0.77058,1.09349,0.50377,0.49773,0.48572,0.34605,1.13871,2.29601,2.0046,0.00140888,0.00140888,0.00140888
15,189.122,0.63407,0.76378,1.11935,0.52966,0.4,0.05351,0.0124,1.80416,3.39861,2.38747,0.00143595,0.00143595,0.00143595
16,201.72,0.60749,0.76947,1.10921,0.56741,0.57778,0.52889,0.34192,1.12547,1.60163,1.87614,0.00141945,0.00141945,0.00141945
17,214.125,0.59752,0.70851,1.10645,0.68227,0.58889,0.49186,0.24317,1.53849,1.77568,2.22535,0.00140295,0.00140295,0.00140295
18,226.573,0.61417,0.69066,1.11296,0.53911,0.56095,0.50072,0.29986,1.29778,1.83909,2.07218,0.00138644,0.00138644,0.00138644
19,238.526,0.60172,0.64456,1.10629,0.50066,0.64638,0.58397,0.42194,1.04217,1.51442,1.84828,0.00136994,0.00136994,0.00136994
20,251.46,0.59552,0.60913,1.11815,0.45971,0.70366,0.62087,0.42614,1.00099,1.58117,1.73375,0.00135344,0.00135344,0.00135344
21,263.528,0.58283,0.59792,1.08626,0.37781,0.52222,0.3302,0.26045,0.87642,2.61701,1.70368,0.00133693,0.00133693,0.00133693
22,276.282,0.55852,0.58285,1.07973,0.5339,0.62077,0.46844,0.34288,0.9279,2.14236,1.75654,0.00132043,0.00132043,0.00132043
23,288.277,0.57994,0.55531,1.09981,0.27445,0.44444,0.29261,0.20413,1.27246,2.97301,1.95062,0.00130393,0.00130393,0.00130393
24,301.246,0.55461,0.52753,1.07694,0.43191,0.45591,0.34684,0.25645,0.95214,2.92069,1.72673,0.00128742,0.00128742,0.00128742
25,313.651,0.548,0.51788,1.07201,0.60726,0.64274,0.56222,0.48436,0.72338,1.19214,1.45231,0.00127092,0.00127092,0.00127092
26,325.199,0.56672,0.5218,1.08158,0.52148,0.66339,0.51832,0.42108,0.74227,1.27357,1.56747,0.00125442,0.00125442,0.00125442
27,337.207,0.55413,0.5137,1.07871,0.41749,0.60796,0.38758,0.31776,0.72654,1.9575,1.47733,0.00123791,0.00123791,0.00123791
28,350.05,0.54495,0.50502,1.06881,0.53421,0.58831,0.48242,0.37314,0.85062,2.27409,1.57819,0.00122141,0.00122141,0.00122141
29,362.379,0.54968,0.4897,1.07347,0.51599,0.59686,0.48676,0.41617,0.66556,1.92385,1.36442,0.00120491,0.00120491,0.00120491
30,374.748,0.52355,0.49095,1.05277,0.52205,0.65495,0.49177,0.39249,0.82655,1.92262,1.5821,0.0011884,0.0011884,0.0011884
31,386.359,0.52834,0.46814,1.06328,0.5007,0.52222,0.32058,0.24148,0.84839,2.88416,1.64063,0.0011719,0.0011719,0.0011719
32,398.855,0.54362,0.46373,1.06359,0.68505,0.74492,0.65414,0.52392,0.66914,0.75432,1.40242,0.0011554,0.0011554,0.0011554
33,411.504,0.55211,0.49818,1.08303,0.45102,0.54444,0.36518,0.27473,0.9808,2.72068,1.74704,0.00113889,0.00113889,0.00113889
34,423.704,0.52684,0.46631,1.05715,0.52555,0.67947,0.60289,0.52601,0.58282,1.18868,1.36584,0.00112239,0.00112239,0.00112239
35,436.31,0.50654,0.4395,1.04901,0.71155,0.74508,0.6384,0.54455,0.69873,0.54187,1.43376,0.00110589,0.00110589,0.00110589
36,448.796,0.52229,0.45178,1.06196,0.74239,0.77778,0.64106,0.5443,0.70968,0.50718,1.42164,0.00108938,0.00108938,0.00108938
37,463.406,0.50496,0.43353,1.04294,0.65038,0.73085,0.68156,0.57825,0.71297,0.60112,1.43286,0.00107288,0.00107288,0.00107288
38,477.32,0.53225,0.44807,1.0671,0.7825,0.77778,0.67723,0.60215,0.64423,0.4084,1.34667,0.00105638,0.00105638,0.00105638
39,491.367,0.50004,0.42438,1.04321,0.78364,0.7906,0.67727,0.6181,0.61498,0.41807,1.38156,0.00103987,0.00103987,0.00103987
40,504.676,0.50081,0.4044,1.05024,0.79437,0.78466,0.67764,0.58932,0.60305,0.37797,1.33749,0.00102337,0.00102337,0.00102337
41,517.671,0.50475,0.40103,1.04214,0.78715,0.79896,0.72332,0.66856,0.55412,0.33921,1.28063,0.00100687,0.00100687,0.00100687
42,529.978,0.49703,0.38749,1.04381,0.60885,0.68986,0.59061,0.53236,0.57038,0.88641,1.32329,0.000990365,0.000990365,0.000990365
43,543.64,0.51125,0.3997,1.04298,0.59838,0.71273,0.60256,0.53521,0.60135,0.80241,1.34899,0.000973861,0.000973861,0.000973861
44,557.371,0.49651,0.39327,1.03649,0.74452,0.76667,0.77027,0.69355,0.60594,0.40491,1.35291,0.000957358,0.000957358,0.000957358
45,570.453,0.48187,0.3891,1.03682,0.76085,0.76459,0.67772,0.60384,0.60461,0.39849,1.32305,0.000940855,0.000940855,0.000940855
46,582.228,0.49041,0.38919,1.03976,0.71339,0.77778,0.63725,0.5642,0.68432,0.45771,1.42507,0.000924352,0.000924352,0.000924352
47,595.011,0.48012,0.39312,1.03888,0.70978,0.75511,0.67297,0.615,0.54976,0.48809,1.27873,0.000907848,0.000907848,0.000907848
48,607.674,0.47609,0.40331,1.0299,0.72548,0.77778,0.67276,0.61169,0.61762,0.47032,1.33006,0.000891345,0.000891345,0.000891345
49,619.358,0.49579,0.38509,1.03656,0.65853,0.74444,0.68534,0.61342,0.56848,0.5484,1.30803,0.000874842,0.000874842,0.000874842
50,632.108,0.48061,0.37555,1.03489,0.78929,0.78918,0.67938,0.62034,0.57436,0.31147,1.28828,0.000858338,0.000858338,0.000858338
51,644.361,0.47188,0.36379,1.02469,0.68003,0.69833,0.61525,0.55706,0.60938,0.65214,1.39505,0.000841835,0.000841835,0.000841835
52,657.473,0.48819,0.36115,1.03422,0.78276,0.77778,0.68874,0.61738,0.62324,0.41284,1.34119,0.000825332,0.000825332,0.000825332
53,670.36,0.49346,0.37468,1.04741,0.69821,0.72605,0.67187,0.60165,0.56527,0.48857,1.27031,0.000808828,0.000808828,0.000808828
54,682.354,0.45926,0.35235,1.02009,0.77019,0.73823,0.67877,0.619,0.58604,0.40173,1.29754,0.000792325,0.000792325,0.000792325
55,694.564,0.46657,0.3655,1.02571,0.79418,0.78874,0.67983,0.62485,0.56959,0.34208,1.30971,0.000775822,0.000775822,0.000775822
56,707.489,0.45736,0.34995,1.0153,0.7395,0.74197,0.67886,0.61488,0.59048,0.42729,1.33717,0.000759318,0.000759318,0.000759318
57,719.858,0.46194,0.35457,1.02429,0.66335,0.72295,0.64531,0.58385,0.56071,0.53972,1.26946,0.000742815,0.000742815,0.000742815
58,732.096,0.45393,0.33026,1.01251,0.78277,0.78999,0.68409,0.63654,0.53319,0.32794,1.24944,0.000726312,0.000726312,0.000726312
59,744.59,0.45788,0.34072,1.01342,0.72555,0.73438,0.67908,0.62907,0.53556,0.4914,1.24256,0.000709809,0.000709809,0.000709809
60,756.94,0.45313,0.33817,1.01355,0.78684,0.78092,0.68388,0.62009,0.55776,0.32646,1.24138,0.000693305,0.000693305,0.000693305
61,769.811,0.451,0.34409,1.02125,0.71311,0.75682,0.68112,0.61545,0.54008,0.42282,1.30004,0.000676802,0.000676802,0.000676802
62,782.264,0.44806,0.33942,1.02018,0.76223,0.76679,0.68005,0.63073,0.51399,0.36976,1.26108,0.000660299,0.000660299,0.000660299
63,795.273,0.44763,0.32851,1.01437,0.69198,0.72508,0.64918,0.60925,0.51302,0.50267,1.25199,0.000643795,0.000643795,0.000643795
64,806.959,0.43062,0.31465,1.00849,0.78158,0.77216,0.68118,0.64206,0.51549,0.3178,1.24463,0.000627292,0.000627292,0.000627292
65,818.817,0.43733,0.33179,1.00816,0.73711,0.75908,0.68241,0.62994,0.52794,0.37454,1.2324,0.000610789,0.000610789,0.000610789
66,831.59,0.44027,0.32815,0.9977,0.78118,0.77148,0.68191,0.64087,0.53214,0.31836,1.22571,0.000594286,0.000594286,0.000594286
67,844.04,0.42685,0.32078,1.00203,0.78908,0.78889,0.68639,0.63983,0.50946,0.29308,1.2197,0.000577782,0.000577782,0.000577782
68,856.355,0.4342,0.31874,1.01086,0.77716,0.7642,0.68241,0.64138,0.51642,0.33842,1.21256,0.000561279,0.000561279,0.000561279
69,869.144,0.4297,0.30595,1.00152,0.74556,0.76749,0.68159,0.64829,0.47236,0.32843,1.14883,0.000544776,0.000544776,0.000544776
70,881.124,0.42703,0.31532,1.00882,0.78964,0.78795,0.68293,0.63315,0.49757,0.2848,1.18367,0.000528272,0.000528272,0.000528272
71,893.812,0.42503,0.30521,1.0033,0.70041,0.79893,0.64599,0.60744,0.48765,0.32215,1.18909,0.000511769,0.000511769,0.000511769
72,906.432,0.42685,0.30206,1.00014,0.70207,0.77778,0.64461,0.60476,0.47801,0.34444,1.19654,0.000495266,0.000495266,0.000495266
73,918.242,0.42675,0.29431,0.99424,0.76296,0.77042,0.6814,0.63944,0.4997,0.33506,1.21512,0.000478762,0.000478762,0.000478762
74,930.938,0.43473,0.30941,1.01605,0.76624,0.75557,0.6817,0.63998,0.48362,0.39711,1.20685,0.000462259,0.000462259,0.000462259
75,942.658,0.42293,0.29588,1.00461,0.66684,0.70047,0.6502,0.60754,0.50746,0.60277,1.21046,0.000445756,0.000445756,0.000445756
76,954.767,0.42191,0.30867,1.0028,0.66647,0.71624,0.65231,0.61672,0.4828,0.55728,1.21686,0.000429253,0.000429253,0.000429253
77,967.212,0.40503,0.3127,0.99539,0.67917,0.70826,0.6501,0.61825,0.47173,0.5005,1.18601,0.000412749,0.000412749,0.000412749
78,979.908,0.40696,0.30574,0.99576,0.78512,0.77889,0.68283,0.65192,0.48327,0.27999,1.20216,0.000396246,0.000396246,0.000396246
79,992.537,0.42123,0.3101,0.99886,0.78018,0.7863,0.68254,0.64997,0.47411,0.28216,1.21294,0.000379743,0.000379743,0.000379743
80,1005.18,0.39632,0.28318,0.98762,0.78117,0.77842,0.6818,0.64561,0.49109,0.30626,1.19223,0.000363239,0.000363239,0.000363239
81,1017.73,0.40825,0.28556,0.99835,0.79241,0.77959,0.6831,0.623,0.5407,0.30852,1.23299,0.000346736,0.000346736,0.000346736
82,1030.38,0.3978,0.27798,0.99191,0.77849,0.77809,0.68454,0.6344,0.50443,0.3144,1.22484,0.000330233,0.000330233,0.000330233
83,1041.93,0.399,0.27592,0.99513,0.74067,0.77846,0.68226,0.64253,0.51701,0.34718,1.22964,0.000313729,0.000313729,0.000313729
84,1053.97,0.38815,0.27017,0.9863,0.74841,0.77778,0.68197,0.64558,0.49632,0.3277,1.2056,0.000297226,0.000297226,0.000297226
85,1065.91,0.38562,0.26428,0.98348,0.7775,0.77778,0.68225,0.64947,0.50634,0.31479,1.21282,0.000280723,0.000280723,0.000280723
86,1078.39,0.38279,0.25592,0.98353,0.78336,0.77778,0.68148,0.64029,0.4879,0.29146,1.19865,0.00026422,0.00026422,0.00026422
87,1091.1,0.38264,0.25947,0.97783,0.79361,0.77803,0.68228,0.65193,0.48733,0.27387,1.20573,0.000247716,0.000247716,0.000247716
88,1103.49,0.3841,0.26253,0.98503,0.79316,0.78889,0.68277,0.64787,0.49679,0.26336,1.21651,0.000231213,0.000231213,0.000231213
89,1115.69,0.38374,0.26684,0.98642,0.79498,0.77955,0.68332,0.65769,0.4839,0.25796,1.19951,0.00021471,0.00021471,0.00021471
90,1128.65,0.38795,0.26885,0.98474,0.79053,0.77868,0.68388,0.65503,0.47876,0.26611,1.19082,0.000198206,0.000198206,0.000198206
91,1148.42,0.26412,0.20484,0.88997,0.79418,0.7789,0.68894,0.65361,0.48878,0.29488,1.20287,0.000181703,0.000181703,0.000181703
92,1160.71,0.26586,0.1984,0.89775,0.7874,0.78565,0.6886,0.65103,0.48143,0.26319,1.19807,0.0001652,0.0001652,0.0001652
93,1172.95,0.26066,0.18749,0.89457,0.79614,0.7901,0.69064,0.65737,0.46411,0.25209,1.18893,0.000148696,0.000148696,0.000148696
94,1184.64,0.25855,0.17854,0.90303,0.79651,0.79478,0.69218,0.66253,0.48117,0.23504,1.18817,0.000132193,0.000132193,0.000132193
95,1195.7,0.2508,0.17935,0.87837,0.79679,0.79411,0.69308,0.66092,0.46822,0.22958,1.18554,0.00011569,0.00011569,0.00011569
96,1207.39,0.24894,0.16656,0.88128,0.79619,0.79076,0.6965,0.66117,0.46811,0.23206,1.18597,9.91865e-05,9.91865e-05,9.91865e-05
97,1219,0.24555,0.16944,0.88633,0.79491,0.76948,0.69308,0.66442,0.46129,0.24365,1.19502,8.26832e-05,8.26832e-05,8.26832e-05
98,1230.59,0.24014,0.16409,0.88022,0.79108,0.76972,0.69064,0.66285,0.46605,0.24529,1.19439,6.61799e-05,6.61799e-05,6.61799e-05
99,1241.93,0.23587,0.16401,0.88554,0.78979,0.77181,0.68937,0.6596,0.46434,0.25366,1.19697,4.96766e-05,4.96766e-05,4.96766e-05
100,1253.56,0.24084,0.16073,0.88483,0.78398,0.76889,0.68937,0.66174,0.4654,0.2685,1.20152,3.31733e-05,3.31733e-05,3.31733e-05
